benchmark	ipc_open	ipc_GS_1c	delta(B-A)	pct_change(%)	speedup(B/A)
crono/Community/higgs	0.938791	0.948033	0.009242	0.98	1.009845
crono/Connected-Components/higgs	0.703676	0.717186	0.013510	1.92	1.019199
crono/DFS/higgs	0.697419	0.705130	0.007711	1.11	1.011056
crono/PageRank/higgs	0.457756	0.504997	0.047241	10.32	1.103201
crono/PageRank/roadNet-CA	0.897427	0.887695	-0.009732	-1.08	0.989156
crono/PageRank/soc-pokec	0.423516	0.461220	0.037704	8.90	1.089026
crono/SSSP/higgs	0.754644	0.764298	0.009654	1.28	1.012793
crono/Triangle-Counting/higgs	0.886852	0.893340	0.006488	0.73	1.007316
crono/Triangle-Counting/roadNet-CA	0.816476	0.808529	-0.007947	-0.97	0.990267
graph500/s16-e10	0.828515	0.827790	-0.000725	-0.09	0.999125
hashjoin/hj-2-NPO_st	0.426635	0.471871	0.045236	10.60	1.106030
hashjoin/hj-8-NPO_st	0.313787	0.335201	0.021414	6.82	1.068244
hpcc/RandAcc	0.276129	0.307820	0.031691	11.48	1.114769
hpcc/RandAcc_LCG	0.476539	0.511623	0.035084	7.36	1.073623
ligra/BC/Amazon0312	0.649911	0.647555	-0.002356	-0.36	0.996375
ligra/BC/soc-pokec	0.540030	0.538920	-0.001110	-0.21	0.997945
ligra/BFS-Bitvector/soc-pokec	1.469200	1.466733	-0.002467	-0.17	0.998321
ligra/BFSCC/soc-pokec-short	0.837148	0.835618	-0.001530	-0.18	0.998172
ligra/BellmanFord/Amazon0312	0.476635	0.475665	-0.000970	-0.20	0.997965
ligra/CF/higgs	1.531844	1.557154	0.025310	1.65	1.016523
ligra/CF/roadNet-CA	1.421626	1.420100	-0.001526	-0.11	0.998927
ligra/CF/soc-pokec	1.269490	1.305710	0.036220	2.85	1.028531
ligra/Components-Shortcut/soc-pokec	0.926180	0.943724	0.017544	1.89	1.018942
ligra/Components/soc-pokec	0.728811	0.750925	0.022114	3.03	1.030343
ligra/MIS/soc-pokec	0.605485	0.608830	0.003345	0.55	1.005524
ligra/PageRank/higgs	0.970777	1.026194	0.055417	5.71	1.057085
ligra/PageRank/roadNet-CA	1.136706	1.136945	0.000239	0.02	1.000210
ligra/PageRank/soc-pokec	0.718382	0.780598	0.062216	8.66	1.086606
ligra/PageRankDelta/Amazon0312	0.829671	0.830890	0.001219	0.15	1.001469
ligra/PageRankDelta/higgs	1.017310	1.020720	0.003410	0.34	1.003352
ligra/PageRankDelta/roadNet-CA	0.678497	0.676487	-0.002010	-0.30	0.997038
ligra/PageRankDelta/soc-pokec	0.513375	0.524450	0.011075	2.16	1.021573
ligra/Radii/higgs	0.569198	0.569608	0.000410	0.07	1.000720
ligra/Radii/soc-pokec	0.437996	0.450075	0.012079	2.76	1.027578
ligra/Triangle/higgs	0.789187	0.784195	-0.004992	-0.63	0.993675
ligra/Triangle/roadNet-CA	0.793641	0.793305	-0.000336	-0.04	0.999577
ligra/Triangle/soc-pokec	0.587919	0.588077	0.000158	0.03	1.000269
npb/CG	1.553350	1.550825	-0.002525	-0.16	0.998374
npb/IS	1.518043	1.515889	-0.002154	-0.14	0.998581
spec06/GemsFDTD/ref	1.158332	1.171348	0.013016	1.12	1.011237
spec06/astar/lakes	0.592887	0.593647	0.000760	0.13	1.001282
spec06/bwaves/ref	1.163360	1.166800	0.003440	0.30	1.002957
spec06/cactusADM/ref	2.289877	2.354936	0.065059	2.84	1.028412
spec06/lbm/ref	0.765350	0.763053	-0.002297	-0.30	0.996999
spec06/leslie3d/ref	1.512645	1.514118	0.001473	0.10	1.000974
spec06/mcf/ref	0.194245	0.199840	0.005595	2.88	1.028804
spec06/milc/ref	0.979313	0.979527	0.000214	0.02	1.000219
spec06/omnetpp/ref	0.594771	0.587948	-0.006823	-1.15	0.988528
spec06/soplex/pds	0.555154	0.553699	-0.001455	-0.26	0.997379
spec06/sphinx3/ref	1.440934	1.433464	-0.007470	-0.52	0.994816
spec06/wrf/ref	1.889944	1.888952	-0.000992	-0.05	0.999475
spec06/zeusmp/ref	1.990533	2.049930	0.059397	2.98	1.029840
spec17/bwaves/bw1	1.425923	1.437363	0.011440	0.80	1.008023
spec17/cactuBSSN/ref	2.129071	2.164572	0.035501	1.67	1.016674
spec17/fotonik3d/ref	1.083649	1.082428	-0.001221	-0.11	0.998873
spec17/gcc/ref32-O5	0.991149	0.989435	-0.001714	-0.17	0.998271
spec17/lbm/ref	1.124688	1.121052	-0.003636	-0.32	0.996767
spec17/mcf/ref	0.548935	0.548387	-0.000548	-0.10	0.999002
spec17/omnetpp/ref	0.735573	0.732291	-0.003282	-0.45	0.995538
spec17/roms/ref	2.053417	2.043946	-0.009471	-0.46	0.995388
spec17/wrf/ref	2.197435	2.196507	-0.000928	-0.04	0.999578
spec17/xz/cld	0.837572	0.855264	0.017692	2.11	1.021123
__GEOMEAN__					1.015331
