benchmark	ipc_GS	ipc_smart_close_1c	delta(B-A)	pct_change(%)	speedup(B/A)
crono/Community/higgs	0.948033	0.841939	-0.106094	-11.19	0.888090
crono/Connected-Components/higgs	0.717186	0.659358	-0.057828	-8.06	0.919368
crono/DFS/higgs	0.705130	0.667978	-0.037152	-5.27	0.947312
crono/PageRank/higgs	0.504997	0.472179	-0.032818	-6.50	0.935013
crono/PageRank/roadNet-CA	0.887695	0.735440	-0.152255	-17.15	0.828483
crono/PageRank/soc-pokec	0.461220	0.433479	-0.027741	-6.01	0.939853
crono/SSSP/higgs	0.764298	0.701748	-0.062550	-8.18	0.918160
crono/Triangle-Counting/higgs	0.893340	0.786736	-0.106604	-11.93	0.880668
crono/Triangle-Counting/roadNet-CA	0.808529	0.654959	-0.153570	-18.99	0.810062
graph500/s16-e10	0.827790	0.696815	-0.130975	-15.82	0.841778
hashjoin/hj-2-NPO_st	0.471871	0.430632	-0.041239	-8.74	0.912605
hashjoin/hj-8-NPO_st	0.335201	0.332802	-0.002399	-0.72	0.992843
hpcc/RandAcc	0.307820	0.310765	0.002945	0.96	1.009567
hpcc/RandAcc_LCG	0.511623	0.515382	0.003759	0.73	1.007347
ligra/BC/Amazon0312	0.647555	0.541894	-0.105661	-16.32	0.836831
ligra/BC/soc-pokec	0.538920	0.536809	-0.002111	-0.39	0.996083
ligra/BFS-Bitvector/soc-pokec	1.466733	1.102075	-0.364658	-24.86	0.751381
ligra/BFSCC/soc-pokec-short	0.835618	0.718746	-0.116872	-13.99	0.860137
ligra/BellmanFord/Amazon0312	0.475665	0.415516	-0.060149	-12.65	0.873548
ligra/CF/higgs	1.557154	1.415948	-0.141206	-9.07	0.909318
ligra/CF/roadNet-CA	1.420100	1.221618	-0.198482	-13.98	0.860234
ligra/CF/soc-pokec	1.305710	1.214971	-0.090739	-6.95	0.930506
ligra/Components-Shortcut/soc-pokec	0.943724	0.778954	-0.164770	-17.46	0.825404
ligra/Components/soc-pokec	0.750925	0.651028	-0.099897	-13.30	0.866968
ligra/MIS/soc-pokec	0.608830	0.530950	-0.077880	-12.79	0.872083
ligra/PageRank/higgs	1.026194	0.932076	-0.094118	-9.17	0.908284
ligra/PageRank/roadNet-CA	1.136945	0.914025	-0.222920	-19.61	0.803931
ligra/PageRank/soc-pokec	0.780598	0.748374	-0.032224	-4.13	0.958719
ligra/PageRankDelta/Amazon0312	0.830890	0.677561	-0.153329	-18.45	0.815464
ligra/PageRankDelta/higgs	1.020720	0.829550	-0.191170	-18.73	0.812711
ligra/PageRankDelta/roadNet-CA	0.676487	0.539831	-0.136656	-20.20	0.797992
ligra/PageRankDelta/soc-pokec	0.524450	0.487458	-0.036992	-7.05	0.929465
ligra/Radii/higgs	0.569608	0.487462	-0.082146	-14.42	0.855785
ligra/Radii/soc-pokec	0.450075	0.408764	-0.041311	-9.18	0.908213
ligra/Triangle/higgs	0.784195	0.743531	-0.040664	-5.19	0.948146
ligra/Triangle/roadNet-CA	0.793305	0.698056	-0.095249	-12.01	0.879934
ligra/Triangle/soc-pokec	0.588077	0.570258	-0.017819	-3.03	0.969700
npb/CG	1.550825	1.138781	-0.412044	-26.57	0.734307
npb/IS	1.515889	1.095869	-0.420020	-27.71	0.722922
spec06/GemsFDTD/ref	1.171348	1.077678	-0.093670	-8.00	0.920032
spec06/astar/lakes	0.593647	0.582372	-0.011275	-1.90	0.981007
spec06/bwaves/ref	1.166800	0.950575	-0.216225	-18.53	0.814685
spec06/cactusADM/ref	2.354936	2.290321	-0.064615	-2.74	0.972562
spec06/lbm/ref	0.763053	0.648770	-0.114283	-14.98	0.850229
spec06/leslie3d/ref	1.514118	1.230010	-0.284108	-18.76	0.812361
spec06/mcf/ref	0.199840	0.181551	-0.018289	-9.15	0.908482
spec06/milc/ref	0.979527	0.842953	-0.136574	-13.94	0.860571
spec06/omnetpp/ref	0.587948	0.548534	-0.039414	-6.70	0.932963
spec06/soplex/pds	0.553699	0.495393	-0.058306	-10.53	0.894697
spec06/sphinx3/ref	1.433464	1.245445	-0.188019	-13.12	0.868836
spec06/wrf/ref	1.888952	1.625883	-0.263069	-13.93	0.860733
spec06/zeusmp/ref	2.049930	1.939450	-0.110480	-5.39	0.946105
spec17/bwaves/bw1	1.437363	1.316621	-0.120742	-8.40	0.915998
spec17/cactuBSSN/ref	2.164572	2.164059	-0.000513	-0.02	0.999763
spec17/fotonik3d/ref	1.082428	0.992344	-0.090084	-8.32	0.916776
spec17/gcc/ref32-O5	0.989435	0.929704	-0.059731	-6.04	0.939631
spec17/lbm/ref	1.121052	0.966166	-0.154886	-13.82	0.861839
spec17/mcf/ref	0.548387	0.493780	-0.054607	-9.96	0.900423
spec17/omnetpp/ref	0.732291	0.693199	-0.039092	-5.34	0.946617
spec17/roms/ref	2.043946	1.773799	-0.270147	-13.22	0.867831
spec17/wrf/ref	2.196507	1.979759	-0.216748	-9.87	0.901322
spec17/xz/cld	0.855264	0.856732	0.001468	0.17	1.001716
__GEOMEAN__					0.889988
